"chromosome"	"start"	"ratio"	"ratio_median"
1	12650001	-0.033	-0.005
1	12700001	0.057	-0.005
1	12750001	0.102	-0.005
1	12800001	-0.061	-0.005
1	13800001	0.022	-0.005
1	13850001	-0.032	-0.005
1	13900001	0.019	-0.005
1	13950001	0.009	-0.005
1	14000001	0.192	-0.005
1	14050001	-0.078	-0.005
1	14100001	-0.126	-0.005
1	14150001	-0.061	-0.005
1	14200001	0.002	-0.005
1	14250001	-0.011	-0.005
1	14300001	0.03	-0.005
1	14350001	-0.142	-0.005
1	14400001	0.117	-0.005
1	14450001	-0.003	-0.005
1	14500001	-0.128	-0.005
1	14550001	-0.003	-0.005
1	14600001	-0.011	-0.005
1	14650001	0.061	-0.005
1	14700001	-0.215	-0.005
1	14750001	-0.047	-0.005
1	14800001	-0.113	-0.005
1	14850001	-0.07	-0.005
1	14900001	0.272	-0.005
1	14950001	-0.078	-0.005
1	15000001	-0.077	-0.005
1	15050001	0.037	-0.005
1	15100001	0.066	-0.005
1	15150001	-0.082	-0.005
1	15200001	-0.019	-0.005
1	15250001	-0.003	-0.005
1	15300001	0.038	-0.005
1	15350001	-0.159	-0.005
1	15400001	-0.014	-0.005
1	15450001	0.067	-0.005
1	15500001	-0.116	-0.005
1	15550001	0.072	-0.005
1	15600001	0.039	-0.005
1	15650001	0.046	-0.005
1	15700001	0.278	-0.005
1	15750001	-0.045	-0.005
1	15800001	-0.092	-0.005
1	15850001	0.024	-0.005
1	15900001	-0.118	-0.005
1	15950001	-0.026	-0.005
1	16000001	-0.043	-0.005
1	16050001	-0.056	-0.005
1	16100001	0.115	-0.005
1	16200001	-0.057	-0.005
1	16250001	-0.023	-0.005
1	16300001	0.03	-0.005
1	16400001	0.18	-0.005
1	16450001	-0.107	-0.005
1	16500001	-0.052	-0.005
1	16550001	0.087	-0.005
1	16600001	-0.112	-0.005
1	16650001	-0.118	-0.005
1	16700001	0.043	-0.005
1	16750001	0.075	-0.005
1	17300001	-0.004	-0.005
1	17350001	0.05	-0.005
1	17400001	0.077	-0.005
1	17450001	-0.012	-0.005
1	17500001	0.158	-0.005
1	17600001	0.04	-0.005
1	17650001	-0.007	-0.005
1	17700001	0.147	-0.005
1	17750001	0.025	-0.005
1	17800001	-0.099	-0.005
1	17850001	0.104	-0.005
1	17900001	-0.055	-0.005
1	17950001	-0.016	-0.005
1	18000001	0.022	-0.005
1	18050001	0.139	-0.005
1	18100001	-0.088	-0.005
1	18150001	-0.131	-0.005
1	18200001	-0.101	-0.005
1	18250001	-0.009	-0.005
1	18300001	-0.099	-0.005
1	18350001	-0.08	-0.005
1	18400001	0.051	-0.005
1	18450001	0.01	-0.005
1	18500001	-0.093	-0.005
1	18550001	-0.092	-0.005
1	18600001	-0.03	-0.005
1	18650001	0.074	-0.005
1	18700001	0.041	-0.005
1	18750001	0.154	-0.005
1	18800001	-0.005	-0.005
1	18850001	-0.023	-0.005
1	18900001	0.072	-0.005
1	18950001	0.037	-0.005
1	19000001	-0.076	-0.005
1	19050001	-0.069	-0.005
1	19100001	-0.073	-0.005
1	19150001	0.004	-0.005
1	19200001	-0.035	-0.005
1	19250001	0.124	-0.005
1	19300001	0.007	-0.005
1	19350001	-0.143	-0.005
1	19400001	0.036	-0.005
1	19450001	-0.047	-0.005
1	19500001	0.005	-0.005
1	19550001	0.15	-0.005
1	19600001	0.027	-0.005
1	19650001	0.073	-0.005
1	19700001	0.066	-0.005
1	19750001	-0.019	-0.005
1	19800001	-0.03	-0.005
1	19850001	0.054	-0.005
1	19900001	0.125	-0.005
1	19950001	-0.081	-0.005
1	20000001	-0.159	-0.005
1	20050001	-0.119	-0.005
1	20100001	0.08	-0.005
1	20150001	-0.147	-0.005
1	20200001	-0.047	-0.005
1	20250001	-0.025	-0.005
1	20300001	0.131	-0.005
1	20350001	0.118	-0.005
1	20400001	-0.121	-0.005
1	20450001	0.139	-0.005
1	20500001	0.099	-0.005
1	20550001	0.103	-0.005
1	20600001	0.085	-0.005
1	20650001	-0.138	-0.005
1	20700001	0.009	-0.005
1	20750001	0.071	-0.005
1	20800001	0.028	-0.005
1	20850001	0.075	-0.005
1	20900001	0.129	-0.005
1	20950001	-0.04	-0.005
1	21000001	-0.187	-0.005
1	21050001	0.087	-0.005
1	21100001	-0.076	-0.005
1	21150001	-0.092	-0.005
1	21200001	0.009	-0.005
1	21250001	0.093	-0.005
1	21300001	0.071	-0.005
1	21350001	-0.093	-0.005
1	21400001	0.13	-0.005
1	21450001	0.009	-0.005
1	21500001	-0.098	-0.005
1	21550001	0.045	-0.005
1	21600001	0.05	-0.005
1	21650001	-0.057	-0.005
1	21700001	0.079	-0.005
1	21800001	-0.304	-0.005
1	21850001	0.043	-0.005
1	21900001	-0.087	-0.005
1	21950001	-0.072	-0.005
1	22000001	0.108	-0.005
1	22050001	-0.052	-0.005
1	22100001	-0.073	-0.005
1	22150001	-0.129	-0.005
1	22200001	0.031	-0.005
1	22250001	-0.099	-0.005
1	22350001	0.062	-0.005
1	22400001	-0.086	-0.005
1	22450001	-0.086	-0.005
1	22500001	0.02	-0.005
1	22550001	0.089	-0.005
1	22600001	-0.008	-0.005
1	22700001	-0.027	-0.005
1	22750001	0.091	-0.005
1	22800001	0.088	-0.005
1	22850001	0.129	-0.005
1	22900001	0.125	-0.005
1	22950001	-0.085	-0.005
1	23000001	-0.021	-0.005
1	23050001	0.139	-0.005
1	23100001	-0.014	-0.005
1	23150001	0.07	-0.005
1	23200001	-0.075	-0.005
1	23250001	0.093	-0.005
1	23300001	0.003	-0.005
1	23350001	-0.037	-0.005
1	23400001	-0.114	-0.005
1	23450001	-0.009	-0.005
1	23500001	0.171	-0.005
1	23550001	0.114	-0.005
1	23600001	-0.005	-0.005
1	23650001	0.108	-0.005
1	23700001	0.075	-0.005
1	23750001	-0.141	-0.005
1	23800001	0.025	-0.005
1	23850001	-0.055	-0.005
1	23900001	0.051	-0.005
1	23950001	0.091	-0.005
1	24000001	0.032	-0.005
1	24050001	0.057	-0.005
1	24100001	-0.065	-0.005
1	24150001	0.103	-0.005
1	24200001	-0.19	-0.005
1	24400001	0.132	-0.005
1	24450001	0.04	-0.005
1	24500001	-0.021	-0.005
1	24550001	0.157	-0.005
1	24600001	0.085	-0.005
1	24650001	-0.033	-0.005
1	24700001	-0.065	-0.005
1	24750001	0.09	-0.005
1	24800001	-0.076	-0.005
1	24850001	0.033	-0.005
1	24900001	-0.007	-0.005
1	24950001	0.119	-0.005
1	25000001	-0.009	-0.005
1	25050001	0.03	-0.005
1	25100001	0.072	-0.005
1	25150001	-0.033	-0.005
1	25200001	-0.16	-0.005
1	25250001	-0.182	-0.005
1	25300001	-0.048	-0.005
1	25350001	-0.078	-0.005
1	25400001	0.071	-0.005
1	25500001	-0.178	-0.005
1	25550001	0.012	-0.005
1	25750001	-0.11	-0.005
1	25800001	-0.062	-0.005
1	25850001	-0.033	-0.005
1	25900001	0.046	-0.005
1	25950001	0.076	-0.005
1	26000001	-0.066	-0.005
1	26050001	0.017	-0.005
1	26100001	-0.241	-0.005
1	26150001	-0.033	-0.005
1	26200001	-0.061	-0.005
1	26250001	0.06	-0.005
1	26300001	-0.019	-0.005
1	26350001	-0.143	-0.005
1	26400001	0.054	-0.005
1	26450001	0.171	-0.005
1	26500001	0.008	-0.005
1	26550001	0.028	-0.005
1	26600001	0.078	-0.005
1	26650001	0.06	-0.005
1	26700001	-0.161	-0.005
1	26750001	-0.066	-0.005
1	26800001	-0.264	-0.005
1	26850001	-0.051	-0.005
1	26900001	-0.062	-0.005
1	26950001	0.237	-0.005
1	27000001	-0.045	-0.005
1	27050001	0.169	-0.005
1	27100001	-0.042	-0.005
1	27150001	0.108	-0.005
1	27200001	0.081	-0.005
1	27250001	0.068	-0.005
1	27300001	-0.15	-0.005
1	27350001	-0.152	-0.005
1	27400001	-0.141	-0.005
1	27450001	-0.047	-0.005
1	27500001	0.022	-0.005
1	27550001	0.124	-0.005
1	27600001	0.046	-0.005
1	27650001	0.004	-0.005
1	27700001	0.027	-0.005
1	27750001	-0.019	-0.005
1	27800001	0.028	-0.005
1	27850001	-0.085	-0.005
1	27900001	-0.098	-0.005
1	27950001	-0.054	-0.005
1	28000001	0.083	-0.005
1	28050001	0.002	-0.005
1	28100001	0.114	-0.005
1	28250001	0.049	-0.005
1	28300001	0.204	-0.005
1	28350001	-0.046	-0.005
1	28400001	0.011	-0.005
1	28450001	-0.188	-0.005
1	28500001	-0.041	-0.005
1	28550001	-0.032	-0.005
1	28600001	-0.055	-0.005
1	28650001	0.041	-0.005
1	28700001	-0.05	-0.005
1	28750001	0.062	-0.005
1	28800001	0.083	-0.005
1	28850001	0.019	-0.005
1	28900001	0.064	-0.005
1	28950001	0.082	-0.005
1	29000001	0.085	-0.005
1	29050001	0.025	-0.005
1	29100001	0.039	-0.005
1	29150001	0.02	-0.005
1	29200001	-0.115	-0.005
1	29250001	-0.103	-0.005
1	29300001	-0.006	-0.005
1	29350001	0.1	-0.005
1	29400001	-0.015	-0.005
1	29450001	0.024	-0.005
1	29500001	0.044	-0.005
1	29550001	0.032	-0.005
1	29600001	0.015	-0.005
1	29650001	-0.048	-0.005
1	29700001	-0.134	-0.005
1	29750001	-0.098	-0.005
1	29800001	-0.106	-0.005
1	29850001	0.016	-0.005
1	30000001	0.109	-0.005
1	30050001	0.004	-0.005
1	30100001	0.018	-0.005
1	30150001	-0.099	-0.005
1	30200001	-0.123	-0.005
1	30250001	0.105	-0.005
1	30300001	0.127	-0.005
1	30350001	-0.201	-0.005
1	30400001	0.109	-0.005
1	30450001	0.109	-0.005
1	30500001	0.022	-0.005
1	30550001	-0.075	-0.005
1	30600001	-0.123	-0.005
1	30650001	-0.187	-0.005
1	30700001	0.018	-0.005
1	30750001	0.08	-0.005
1	30850001	-0.13	-0.005
1	30900001	-0.226	-0.005
1	30950001	0.021	-0.005
1	31000001	0.03	-0.005
1	31050001	-0.08	-0.005
1	31100001	0.016	-0.005
1	31150001	0.049	-0.005
1	31200001	-0.092	-0.005
1	31300001	0.016	-0.005
1	31350001	0.09	-0.005
1	31400001	0.034	-0.005
1	31450001	0.215	-0.005
1	31500001	-0.152	-0.005
1	31550001	-0.107	-0.005
1	31600001	0.012	-0.005
1	31650001	0.106	-0.005
1	31700001	-0.109	-0.005
1	31750001	-0.071	-0.005
1	31800001	-0.029	-0.005
1	31850001	-0.021	-0.005
1	31900001	0.09	-0.005
1	31950001	0.157	-0.005
1	32000001	0.074	-0.005
1	32050001	-0.055	-0.005
1	32100001	0.076	-0.005
1	32150001	0.057	-0.005
1	32200001	0.049	-0.005
1	32250001	-0.085	-0.005
1	32300001	-0.014	-0.005
1	32350001	0.206	-0.005
1	32400001	-0.006	-0.005
1	32450001	-0.131	-0.005
1	32500001	0.231	-0.005
1	32550001	-0.099	-0.005
1	32600001	0.033	-0.005
1	32650001	0.106	-0.005
1	32700001	0.008	-0.005
1	32750001	-0.068	-0.005
1	32850001	-0.007	-0.005
1	32900001	0.023	-0.005
1	32950001	0.065	-0.005
1	33000001	0.101	-0.005
1	33050001	0.129	-0.005
1	33100001	0.006	-0.005
1	33150001	-0.191	-0.005
1	33200001	-0.009	-0.005
1	33250001	0.008	-0.005
1	33300001	0.033	-0.005
1	33350001	0.128	-0.005
1	33400001	0.083	-0.005
1	33450001	0.058	-0.005
1	33500001	0.172	-0.005
1	33550001	0.06	-0.005
1	33600001	0.038	-0.005
1	33650001	0.073	-0.005
1	33700001	-0.014	-0.005
1	33750001	0.03	-0.005
1	33800001	-0.011	-0.005
1	33850001	-0.025	-0.005
1	33900001	0.034	-0.005
1	33950001	0.057	-0.005
1	34000001	-0.026	-0.005
1	34050001	-0.007	-0.005
1	34100001	-0.022	-0.005
1	34150001	-0.035	-0.005
1	34200001	-0.194	-0.005
1	34250001	-0.123	-0.005
1	34300001	-0.073	-0.005
1	34350001	-0.052	-0.005
1	34400001	-0.124	-0.005
1	34450001	-0.164	-0.005
1	34500001	0.024	-0.005
1	34550001	-0.09	-0.005
1	34600001	-0.025	-0.005
1	34650001	-0.068	-0.005
1	34700001	-0.245	-0.005
1	34750001	-0.027	-0.005
1	34800001	-0.011	-0.005
1	34850001	0.036	-0.005
1	34900001	0.057	-0.005
1	34950001	-0.079	-0.005
1	35000001	-0.164	-0.005
1	35050001	0.075	-0.005
1	35100001	-0.356	-0.005
1	35150001	0.135	-0.005
1	35200001	-0.146	-0.005
1	35250001	-0.015	-0.005
1	35300001	0.055	-0.005
1	35350001	0.092	-0.005
1	35400001	0.09	-0.005
1	35450001	0.075	-0.005
1	35500001	-0.054	-0.005
1	35550001	0.071	-0.005
1	35600001	0.17	-0.005
1	35650001	-0.07	-0.005
1	35700001	-0.073	-0.005
1	35750001	0.091	-0.005
1	35800001	-0.052	-0.005
1	35850001	0.063	-0.005
1	35900001	0.1	-0.005
1	35950001	0.001	-0.005
1	36000001	0.125	-0.005
1	36050001	0.033	-0.005
1	36100001	0.069	-0.005
1	36150001	-0.109	-0.005
1	36200001	0.072	-0.005
1	36250001	0.043	-0.005
1	36300001	0.102	-0.005
1	36350001	0.057	-0.005
1	36400001	0.025	-0.005
1	36450001	0.163	-0.005
1	36500001	0.042	-0.005
1	36550001	0.085	-0.005
1	36600001	-0.031	-0.005
1	36650001	0.076	-0.005
1	36700001	0.007	-0.005
1	36750001	-0.113	-0.005
1	36800001	0.001	-0.005
1	36850001	-0.016	-0.005
1	36900001	0.149	-0.005
1	36950001	-0.157	-0.005
1	37000001	0.018	-0.005
1	37050001	0.003	-0.005
1	37100001	-0.099	-0.005
1	37150001	-0.052	-0.005
1	37200001	-0.148	-0.005
1	37250001	-0.09	-0.005
1	37350001	-0.013	-0.005
1	37400001	-0.141	-0.005
1	37450001	-0.035	-0.005
1	37500001	0.07	-0.005
1	37550001	0.026	-0.005
1	37600001	-0.125	-0.005
1	37650001	0.005	-0.005
1	37700001	0.073	-0.005
1	37750001	-0.126	-0.005
1	37800001	0.07	-0.005
1	37850001	-0.142	-0.005
1	37900001	0.046	-0.005
1	37950001	0.122	-0.005
1	38000001	-0.168	-0.005
1	38100001	-0.152	-0.005
1	38150001	-0.067	-0.005
1	38200001	-0.2	-0.005
1	38250001	-0.167	-0.005
1	38300001	-0.15	-0.005
1	38350001	0.463	0.406
1	38400001	0.494	0.406
1	38450001	0.42	0.406
1	38500001	0.284	0.406
1	38550001	0.583	0.406
1	38600001	0.532	0.406
1	38650001	0.424	0.406
1	38700001	0.433	0.406
1	38750001	0.468	0.406
1	38800001	0.475	0.406
1	38850001	0.462	0.406
1	38900001	0.438	0.406
1	38950001	0.555	0.406
1	39000001	0.448	0.406
1	39050001	0.376	0.406
1	39100001	0.424	0.406
1	39150001	0.41	0.406
1	39200001	0.475	0.406
1	39250001	0.475	0.406
1	39300001	0.499	0.406
1	39400001	0.381	0.406
1	39450001	0.264	0.406
1	39500001	0.353	0.406
1	39550001	0.546	0.406
1	39600001	0.518	0.406
1	39650001	0.293	0.406
1	39700001	0.547	0.406
1	39750001	0.455	0.406
1	39800001	0.456	0.406
1	39850001	0.278	0.406
1	39900001	0.412	0.406
1	40000001	0.326	0.406
1	40050001	0.391	0.406
1	40100001	0.432	0.406
1	40150001	0.515	0.406
1	40200001	0.086	0.406
1	40250001	0.235	0.406
1	40300001	0.369	0.406
1	40350001	0.358	0.406
1	40400001	0.421	0.406
1	40450001	0.365	0.406
1	40500001	0.499	0.406
1	40550001	0.531	0.406
1	40600001	0.329	0.406
1	40650001	0.426	0.406
1	40700001	0.405	0.406
1	40750001	0.448	0.406
1	40800001	0.205	0.406
1	40850001	0.384	0.406
1	40900001	0.387	0.406
1	40950001	0.503	0.406
1	41000001	0.533	0.406
1	41050001	0.41	0.406
1	41100001	0.455	0.406
1	41150001	0.414	0.406
1	41200001	0.431	0.406
1	41250001	0.294	0.406
1	41300001	0.362	0.406
1	41350001	0.298	0.406
1	41400001	0.534	0.406
1	41450001	0.461	0.406
1	41500001	0.394	0.406
1	41550001	0.489	0.406
1	41600001	0.423	0.406
1	41650001	0.449	0.406
1	41700001	0.463	0.406
1	41750001	0.353	0.406
1	41800001	0.43	0.406
1	41850001	0.449	0.406
1	41900001	0.431	0.406
1	41950001	0.433	0.406
1	42000001	0.464	0.406
1	42050001	0.423	0.406
1	42100001	0.475	0.406
1	42150001	0.336	0.406
1	42200001	0.463	0.406
1	42250001	0.39	0.406
1	42300001	0.592	0.406
1	42350001	0.468	0.406
1	42400001	0.467	0.406
1	42450001	0.341	0.406
1	42500001	0.495	0.406
1	42550001	0.241	0.406
1	42600001	0.395	0.406
1	42650001	0.341	0.406
1	42700001	0.475	0.406
1	42800001	0.438	0.406
1	42850001	0.353	0.406
1	42900001	0.199	0.406
1	42950001	0.379	0.406
1	43050001	0.355	0.406
1	43100001	0.434	0.406
1	43150001	0.409	0.406
1	43250001	0.376	0.406
1	43300001	0.481	0.406
1	43350001	0.527	0.406
1	43400001	0.407	0.406
1	43450001	0.201	0.406
1	43500001	0.497	0.406
1	43600001	0.391	0.406
1	43650001	0.367	0.406
1	43700001	0.33	0.406
1	43750001	0.454	0.406
1	43800001	0.339	0.406
1	43850001	0.425	0.406
1	43900001	0.334	0.406
1	43950001	0.326	0.406
1	44000001	0.349	0.406
1	44050001	0.407	0.406
1	44100001	0.36	0.406
1	44150001	0.466	0.406
1	44200001	0.349	0.406
1	44250001	0.299	0.406
1	44300001	0.302	0.406
1	44350001	0.486	0.406
1	44400001	0.399	0.406
1	44450001	0.412	0.406
1	44500001	0.5	0.406
1	44550001	0.347	0.406
1	44600001	0.457	0.406
1	44650001	0.494	0.406
1	44700001	0.385	0.406
1	44750001	0.383	0.406
1	44800001	0.277	0.406
1	44850001	0.374	0.406
1	44900001	0.456	0.406
1	44950001	0.421	0.406
1	45000001	0.442	0.406
1	45050001	0.46	0.406
1	45100001	0.347	0.406
1	45150001	0.388	0.406
1	45200001	0.466	0.406
1	45250001	0.356	0.406
1	45300001	0.465	0.406
1	45350001	0.377	0.406
1	45400001	0.457	0.406
1	45450001	0.496	0.406
1	45500001	0.33	0.406
1	45550001	0.446	0.406
1	45600001	0.451	0.406
1	45650001	0.483	0.406
1	45700001	0.388	0.406
1	45750001	0.427	0.406
1	45800001	0.426	0.406
1	45850001	0.335	0.406
1	45900001	0.468	0.406
1	45950001	0.378	0.406
1	46000001	0.457	0.406
1	46050001	0.366	0.406
1	46100001	0.403	0.406
1	46150001	0.23	0.406
1	46200001	0.323	0.406
1	46250001	0.519	0.406
1	46300001	0.345	0.406
1	46350001	0.478	0.406
1	46400001	0.386	0.406
1	46450001	0.336	0.406
1	46500001	0.359	0.406
1	46550001	0.443	0.406
1	46600001	0.311	0.406
1	46650001	0.335	0.406
1	46700001	0.257	0.406
1	46750001	0.397	0.406
1	46800001	0.4	0.406
1	46850001	0.519	0.406
1	46950001	0.324	0.406
1	47000001	0.187	0.406
1	47050001	0.501	0.406
1	47100001	0.44	0.406
1	47150001	0.351	0.406
1	47200001	0.486	0.406
1	47400001	0.346	0.406
1	47450001	0.463	0.406
1	47600001	0.343	0.406
1	47650001	0.477	0.406
1	47700001	0.362	0.406
1	47750001	0.38	0.406
1	47800001	0.591	0.406
1	47850001	0.438	0.406
1	47900001	0.287	0.406
1	47950001	0.375	0.406
1	48000001	0.432	0.406
1	48050001	0.305	0.406
1	48100001	0.219	0.406
1	48150001	0.279	0.406
1	48200001	0.45	0.406
1	48250001	0.532	0.406
1	48300001	0.439	0.406
1	48350001	0.408	0.406
1	48400001	0.328	0.406
1	48450001	0.369	0.406
1	48500001	0.325	0.406
1	48550001	0.304	0.406
1	48600001	0.407	0.406
1	48650001	0.395	0.406
1	48700001	0.411	0.406
1	48750001	0.537	0.406
1	48800001	0.382	0.406
1	48850001	0.527	0.406
1	48900001	0.443	0.406
1	48950001	0.281	0.406
1	49000001	0.384	0.406
1	49050001	0.373	0.406
1	49100001	0.412	0.406
1	49150001	0.245	0.406
1	49200001	0.416	0.406
1	49250001	0.275	0.406
1	49300001	0.382	0.406
1	49350001	0.461	0.406
1	49400001	0.32	0.406
1	49450001	0.336	0.406
1	49500001	0.369	0.406
1	49550001	0.352	0.406
1	49600001	0.348	0.406
1	49650001	0.355	0.406
1	49700001	0.292	0.406
1	49750001	0.219	0.406
1	49800001	0.366	0.406
1	49850001	0.488	0.406
1	49900001	0.391	0.406
1	49950001	0.427	0.406
1	50000001	0.428	0.406
1	50050001	0.42	0.406
1	50100001	0.394	0.406
1	50150001	0.482	0.406
1	50200001	0.502	0.406
1	50250001	0.518	0.406
1	50300001	0.417	0.406
1	50350001	0.412	0.406
1	50400001	0.412	0.406
1	50450001	0.358	0.406
1	50500001	0.381	0.406
1	50550001	0.476	0.406
1	50600001	0.488	0.406
1	50650001	0.275	0.406
1	50700001	0.42	0.406
1	50750001	0.412	0.406
1	50800001	0.32	0.406
1	50900001	0.309	0.406
1	50950001	0.419	0.406
