"Index","Chr_N","Chr_arm","Chr_band","Start","End"
92,2,2,"q12.3",106700000,108700000
93,2,2,"q13",108700000,112200000
94,2,2,"q14.1",112200000,118100000
95,2,2,"q14.2",118100000,121600000
96,2,2,"q14.3",121600000,129100000
97,2,2,"q21.1",129100000,131700000
98,2,2,"q21.2",131700000,134300000
99,2,2,"q21.3",134300000,136100000
100,2,2,"q22.1",136100000,141500000
101,2,2,"q22.2",141500000,143400000
102,2,2,"q22.3",143400000,147900000
103,2,2,"q23.1",147900000,149000000
104,2,2,"q23.2",149000000,149600000
105,2,2,"q23.3",149600000,154000000
106,2,2,"q24.1",154000000,158900000
107,2,2,"q24.2",158900000,162900000
108,2,2,"q24.3",162900000,168900000
109,2,2,"q31.1",168900000,177100000
110,2,2,"q31.2",177100000,179700000
111,2,2,"q31.3",179700000,182100000
112,2,2,"q32.1",182100000,188500000
113,2,2,"q32.2",188500000,191100000
114,2,2,"q32.3",191100000,196600000
115,2,2,"q33.1",196600000,202500000
116,2,2,"q33.2",202500000,204100000
117,2,2,"q33.3",204100000,208200000
118,2,2,"q34",208200000,214500000
119,2,2,"q35",214500000,220700000
120,2,2,"q36.1",220700000,224300000
121,2,2,"q36.2",224300000,225200000
122,2,2,"q36.3",225200000,230100000
123,2,2,"q37.1",230100000,234700000
124,2,2,"q37.2",234700000,236400000
125,2,2,"q37.3",236400000,242193529
126,3,1,"p26.3",0,2800000
127,3,1,"p26.2",2800000,4000000
128,3,1,"p26.1",4000000,8100000
129,3,1,"p25.3",8100000,11600000
130,3,1,"p25.2",11600000,13200000
131,3,1,"p25.1",13200000,16300000
132,3,1,"p24.3",16300000,23800000
133,3,1,"p24.2",23800000,26300000
134,3,1,"p24.1",26300000,30800000
135,3,1,"p23",30800000,32000000
136,3,1,"p22.3",32000000,36400000
137,3,1,"p22.2",36400000,39300000
138,3,1,"p22.1",39300000,43600000
139,3,1,"p21.33",43600000,44100000
140,3,1,"p21.32",44100000,44200000
141,3,1,"p21.31",44200000,50600000
142,3,1,"p21.2",50600000,52300000
143,3,1,"p21.1",52300000,54400000
144,3,1,"p14.3",54400000,58600000
145,3,1,"p14.2",58600000,63800000
146,3,1,"p14.1",63800000,69700000
147,3,1,"p13",69700000,74100000
148,3,1,"p12.3",74100000,79800000
149,3,1,"p12.2",79800000,83500000
150,3,1,"p12.1",83500000,87100000
151,3,1,"p11.2",87100000,87800000
152,3,1,"p11.1",87800000,90900000
153,3,2,"q11.1",90900000,94000000
154,3,2,"q11.2",94000000,98600000
155,3,2,"q12.1",98600000,100300000
156,3,2,"q12.2",100300000,101200000
157,3,2,"q12.3",101200000,103100000
158,3,2,"q13.11",103100000,106500000
159,3,2,"q13.12",106500000,108200000
160,3,2,"q13.13",108200000,111600000
161,3,2,"q13.2",111600000,113700000
162,3,2,"q13.31",113700000,117600000
163,3,2,"q13.32",117600000,119300000
164,3,2,"q13.33",119300000,122200000
165,3,2,"q21.1",122200000,124100000
166,3,2,"q21.2",124100000,126100000
167,3,2,"q21.3",126100000,129500000
168,3,2,"q22.1",129500000,134000000
169,3,2,"q22.2",134000000,136000000
170,3,2,"q22.3",136000000,139000000
171,3,2,"q23",139000000,143100000
172,3,2,"q24",143100000,149200000
173,3,2,"q25.1",149200000,152300000
174,3,2,"q25.2",152300000,155300000
175,3,2,"q25.31",155300000,157300000
176,3,2,"q25.32",157300000,159300000
177,3,2,"q25.33",159300000,161000000
178,3,2,"q26.1",161000000,167900000
179,3,2,"q26.2",167900000,171200000
180,3,2,"q26.31",171200000,176000000
181,3,2,"q26.32",176000000,179300000
182,3,2,"q26.33",179300000,183000000
183,3,2,"q27.1",183000000,184800000
184,3,2,"q27.2",184800000,186300000
185,3,2,"q27.3",186300000,188200000
186,3,2,"q28",188200000,192600000
187,3,2,"q29",192600000,198295559
188,4,1,"p16.3",0,4500000
189,4,1,"p16.2",4500000,6000000
190,4,1,"p16.1",6000000,11300000
191,4,1,"p15.33",11300000,15000000
192,4,1,"p15.32",15000000,17700000
193,4,1,"p15.31",17700000,21300000
194,4,1,"p15.2",21300000,27700000
195,4,1,"p15.1",27700000,35800000
196,4,1,"p14",35800000,41200000
197,4,1,"p13",41200000,44600000
198,4,1,"p12",44600000,48200000
199,4,1,"p11",48200000,50000000
200,4,2,"q11",50000000,51800000
201,4,2,"q12",51800000,58500000
202,4,2,"q13.1",58500000,65500000
203,4,2,"q13.2",65500000,69400000
204,4,2,"q13.3",69400000,75300000
205,4,2,"q21.1",75300000,78000000
206,4,2,"q21.21",78000000,81500000
207,4,2,"q21.22",81500000,83200000
208,4,2,"q21.23",83200000,86000000
209,4,2,"q21.3",86000000,87100000
210,4,2,"q22.1",87100000,92800000
211,4,2,"q22.2",92800000,94200000
212,4,2,"q22.3",94200000,97900000
213,4,2,"q23",97900000,100100000
214,4,2,"q24",100100000,106700000
215,4,2,"q25",106700000,113200000
216,4,2,"q26",113200000,119900000
217,4,2,"q27",119900000,122800000
218,4,2,"q28.1",122800000,127900000
219,4,2,"q28.2",127900000,130100000
220,4,2,"q28.3",130100000,138500000
221,4,2,"q31.1",138500000,140600000
222,4,2,"q31.21",140600000,145900000
223,4,2,"q31.22",145900000,147500000
224,4,2,"q31.23",147500000,150200000
225,4,2,"q31.3",150200000,154600000
226,4,2,"q32.1",154600000,160800000
227,4,2,"q32.2",160800000,163600000
228,4,2,"q32.3",163600000,169200000
229,4,2,"q33",169200000,171000000
230,4,2,"q34.1",171000000,175400000
231,4,2,"q34.2",175400000,176600000
232,4,2,"q34.3",176600000,182300000
233,4,2,"q35.1",182300000,186200000
234,4,2,"q35.2",186200000,190214555
235,5,1,"p15.33",0,4400000
236,5,1,"p15.32",4400000,6300000
237,5,1,"p15.31",6300000,9900000
238,5,1,"p15.2",9900000,15000000
239,5,1,"p15.1",15000000,18400000
240,5,1,"p14.3",18400000,23300000
241,5,1,"p14.2",23300000,24600000
242,5,1,"p14.1",24600000,28900000
243,5,1,"p13.3",28900000,33800000
244,5,1,"p13.2",33800000,38400000
245,5,1,"p13.1",38400000,42500000
246,5,1,"p12",42500000,46100000
247,5,1,"p11",46100000,48800000
248,5,2,"q11.1",48800000,51400000
249,5,2,"q11.2",51400000,59600000
250,5,2,"q12.1",59600000,63600000
251,5,2,"q12.2",63600000,63900000
252,5,2,"q12.3",63900000,67400000
253,5,2,"q13.1",67400000,69100000
254,5,2,"q13.2",69100000,74000000
255,5,2,"q13.3",74000000,77600000
256,5,2,"q14.1",77600000,82100000
257,5,2,"q14.2",82100000,83500000
258,5,2,"q14.3",83500000,93000000
259,5,2,"q15",93000000,98900000
260,5,2,"q21.1",98900000,103400000
261,5,2,"q21.2",103400000,105100000
262,5,2,"q21.3",105100000,110200000
263,5,2,"q22.1",110200000,112200000
264,5,2,"q22.2",112200000,113800000
265,5,2,"q22.3",113800000,115900000
266,5,2,"q23.1",115900000,122100000
267,5,2,"q23.2",122100000,127900000
268,5,2,"q23.3",127900000,131200000
269,5,2,"q31.1",131200000,136900000
270,5,2,"q31.2",136900000,140100000
271,5,2,"q31.3",140100000,145100000
272,5,2,"q32",145100000,150400000
273,5,2,"q33.1",150400000,153300000
274,5,2,"q33.2",153300000,156300000
275,5,2,"q33.3",156300000,160500000
276,5,2,"q34",160500000,169000000
277,5,2,"q35.1",169000000,173300000
278,5,2,"q35.2",173300000,177100000
279,5,2,"q35.3",177100000,181538259
280,6,1,"p25.3",0,2300000
281,6,1,"p25.2",2300000,4200000
282,6,1,"p25.1",4200000,7100000
283,6,1,"p24.3",7100000,10600000
284,6,1,"p24.2",10600000,11600000
285,6,1,"p24.1",11600000,13400000
286,6,1,"p23",13400000,15200000
287,6,1,"p22.3",15200000,25200000
288,6,1,"p22.2",25200000,27100000
289,6,1,"p22.1",27100000,30500000
290,6,1,"p21.33",30500000,32100000
291,6,1,"p21.32",32100000,33500000
292,6,1,"p21.31",33500000,36600000
293,6,1,"p21.2",36600000,40500000
294,6,1,"p21.1",40500000,46200000
295,6,1,"p12.3",46200000,51800000
296,6,1,"p12.2",51800000,53000000
297,6,1,"p12.1",53000000,57200000
298,6,1,"p11.2",57200000,58500000
299,6,1,"p11.1",58500000,59800000
300,6,2,"q11.1",59800000,62600000
301,6,2,"q11.2",62600000,62700000
302,6,2,"q12",62700000,69200000
303,6,2,"q13",69200000,75200000
304,6,2,"q14.1",75200000,83200000
305,6,2,"q14.2",83200000,84200000
306,6,2,"q14.3",84200000,87300000
307,6,2,"q15",87300000,92500000
308,6,2,"q16.1",92500000,98900000
309,6,2,"q16.2",98900000,100000000
310,6,2,"q16.3",100000000,105000000
311,6,2,"q21",105000000,114200000
312,6,2,"q22.1",114200000,117900000
313,6,2,"q22.2",117900000,118100000
314,6,2,"q22.31",118100000,125800000
315,6,2,"q22.32",125800000,126800000
316,6,2,"q22.33",126800000,130000000
317,6,2,"q23.1",130000000,130900000
318,6,2,"q23.2",130900000,134700000
319,6,2,"q23.3",134700000,138300000
320,6,2,"q24.1",138300000,142200000
321,6,2,"q24.2",142200000,145100000
322,6,2,"q24.3",145100000,148500000
323,6,2,"q25.1",148500000,152100000
324,6,2,"q25.2",152100000,155200000
325,6,2,"q25.3",155200000,160600000
326,6,2,"q26",160600000,164100000
327,6,2,"q27",164100000,170805979
328,7,1,"p22.3",0,2800000
329,7,1,"p22.2",2800000,4500000
330,7,1,"p22.1",4500000,7200000
331,7,1,"p21.3",7200000,13700000
332,7,1,"p21.2",13700000,16500000
333,7,1,"p21.1",16500000,20900000
334,7,1,"p15.3",20900000,25500000
335,7,1,"p15.2",25500000,27900000
336,7,1,"p15.1",27900000,28800000
337,7,1,"p14.3",28800000,34900000
338,7,1,"p14.2",34900000,37100000
339,7,1,"p14.1",37100000,43300000
340,7,1,"p13",43300000,45400000
341,7,1,"p12.3",45400000,49000000
342,7,1,"p12.2",49000000,50500000
343,7,1,"p12.1",50500000,53900000
344,7,1,"p11.2",53900000,58100000
345,7,1,"p11.1",58100000,60100000
346,7,2,"q11.1",60100000,62100000
347,7,2,"q11.21",62100000,67500000
348,7,2,"q11.22",67500000,72700000
349,7,2,"q11.23",72700000,77900000
350,7,2,"q21.11",77900000,86700000
351,7,2,"q21.12",86700000,88500000
352,7,2,"q21.13",88500000,91500000
353,7,2,"q21.2",91500000,93300000
354,7,2,"q21.3",93300000,98400000
355,7,2,"q22.1",98400000,104200000
356,7,2,"q22.2",104200000,104900000
357,7,2,"q22.3",104900000,107800000
358,7,2,"q31.1",107800000,115000000
359,7,2,"q31.2",115000000,117700000
360,7,2,"q31.31",117700000,121400000
361,7,2,"q31.32",121400000,124100000
362,7,2,"q31.33",124100000,127500000
363,7,2,"q32.1",127500000,129600000
364,7,2,"q32.2",129600000,130800000
365,7,2,"q32.3",130800000,132900000
366,7,2,"q33",132900000,138500000
367,7,2,"q34",138500000,143400000
368,7,2,"q35",143400000,148200000
369,7,2,"q36.1",148200000,152800000
370,7,2,"q36.2",152800000,155200000
371,7,2,"q36.3",155200000,159345973
372,8,1,"p23.3",0,2300000
373,8,1,"p23.2",2300000,6300000
374,8,1,"p23.1",6300000,12800000
375,8,1,"p22",12800000,19200000
376,8,1,"p21.3",19200000,23500000
377,8,1,"p21.2",23500000,27500000
378,8,1,"p21.1",27500000,29000000
379,8,1,"p12",29000000,36700000
380,8,1,"p11.23",36700000,38500000
381,8,1,"p11.22",38500000,39900000
382,8,1,"p11.21",39900000,43200000
383,8,1,"p11.1",43200000,45200000
384,8,2,"q11.1",45200000,47200000
385,8,2,"q11.21",47200000,51300000
386,8,2,"q11.22",51300000,51700000
387,8,2,"q11.23",51700000,54600000
388,8,2,"q12.1",54600000,60600000
389,8,2,"q12.2",60600000,61300000
390,8,2,"q12.3",61300000,65100000
391,8,2,"q13.1",65100000,67100000
392,8,2,"q13.2",67100000,69600000
393,8,2,"q13.3",69600000,72000000
394,8,2,"q21.11",72000000,74600000
395,8,2,"q21.12",74600000,74700000
396,8,2,"q21.13",74700000,83500000
397,8,2,"q21.2",83500000,85900000
398,8,2,"q21.3",85900000,92300000
399,8,2,"q22.1",92300000,97900000
400,8,2,"q22.2",97900000,100500000
401,8,2,"q22.3",100500000,105100000
402,8,2,"q23.1",105100000,109500000
403,8,2,"q23.2",109500000,111100000
404,8,2,"q23.3",111100000,116700000
405,8,2,"q24.11",116700000,118300000
406,8,2,"q24.12",118300000,121500000
407,8,2,"q24.13",121500000,126300000
408,8,2,"q24.21",126300000,130400000
409,8,2,"q24.22",130400000,135400000
410,8,2,"q24.23",135400000,138900000
411,8,2,"q24.3",138900000,145138636
412,9,1,"p24.3",0,2200000
413,9,1,"p24.2",2200000,4600000
414,9,1,"p24.1",4600000,9000000
415,9,1,"p23",9000000,14200000
416,9,1,"p22.3",14200000,16600000
417,9,1,"p22.2",16600000,18500000
418,9,1,"p22.1",18500000,19900000
419,9,1,"p21.3",19900000,25600000
420,9,1,"p21.2",25600000,28000000
421,9,1,"p21.1",28000000,33200000
422,9,1,"p13.3",33200000,36300000
423,9,1,"p13.2",36300000,37900000
424,9,1,"p13.1",37900000,39000000
425,9,1,"p12",39000000,40000000
426,9,1,"p11.2",40000000,42200000
427,9,1,"p11.1",42200000,43000000
428,9,2,"q11",43000000,45500000
429,9,2,"q12",45500000,61500000
430,9,2,"q13",61500000,65000000
431,9,2,"q21.11",65000000,69300000
432,9,2,"q21.12",69300000,71300000
433,9,2,"q21.13",71300000,76600000
434,9,2,"q21.2",76600000,78500000
435,9,2,"q21.31",78500000,81500000
436,9,2,"q21.32",81500000,84300000
437,9,2,"q21.33",84300000,87800000
438,9,2,"q22.1",87800000,89200000
439,9,2,"q22.2",89200000,91200000
440,9,2,"q22.31",91200000,93900000
441,9,2,"q22.32",93900000,96500000
442,9,2,"q22.33",96500000,99800000
443,9,2,"q31.1",99800000,105400000
444,9,2,"q31.2",105400000,108500000
445,9,2,"q31.3",108500000,112100000
446,9,2,"q32",112100000,114900000
447,9,2,"q33.1",114900000,119800000
448,9,2,"q33.2",119800000,123100000
449,9,2,"q33.3",123100000,127500000
450,9,2,"q34.11",127500000,130600000
451,9,2,"q34.12",130600000,131100000
452,9,2,"q34.13",131100000,133100000
453,9,2,"q34.2",133100000,134500000
454,9,2,"q34.3",134500000,138394717
455,10,1,"p15.3",0,3000000
456,10,1,"p15.2",3000000,3800000
457,10,1,"p15.1",3800000,6600000
458,10,1,"p14",6600000,12200000
459,10,1,"p13",12200000,17300000
460,10,1,"p12.33",17300000,18300000
461,10,1,"p12.32",18300000,18400000
462,10,1,"p12.31",18400000,22300000
463,10,1,"p12.2",22300000,24300000
464,10,1,"p12.1",24300000,29300000
465,10,1,"p11.23",29300000,31100000
466,10,1,"p11.22",31100000,34200000
467,10,1,"p11.21",34200000,38000000
468,10,1,"p11.1",38000000,39800000
469,10,2,"q11.1",39800000,41600000
470,10,2,"q11.21",41600000,45500000
471,10,2,"q11.22",45500000,48600000
472,10,2,"q11.23",48600000,51100000
473,10,2,"q21.1",51100000,59400000
474,10,2,"q21.2",59400000,62800000
475,10,2,"q21.3",62800000,68800000
476,10,2,"q22.1",68800000,73100000
477,10,2,"q22.2",73100000,75900000
478,10,2,"q22.3",75900000,80300000
479,10,2,"q23.1",80300000,86100000
480,10,2,"q23.2",86100000,87700000
481,10,2,"q23.31",87700000,91100000
482,10,2,"q23.32",91100000,92300000
483,10,2,"q23.33",92300000,95300000
484,10,2,"q24.1",95300000,97500000
485,10,2,"q24.2",97500000,100100000
486,10,2,"q24.31",100100000,101200000
487,10,2,"q24.32",101200000,103100000
488,10,2,"q24.33",103100000,104000000
489,10,2,"q25.1",104000000,110100000
490,10,2,"q25.2",110100000,113100000
491,10,2,"q25.3",113100000,117300000
492,10,2,"q26.11",117300000,119900000
493,10,2,"q26.12",119900000,121400000
494,10,2,"q26.13",121400000,125700000
495,10,2,"q26.2",125700000,128800000
496,10,2,"q26.3",128800000,133797422
497,11,1,"p15.5",0,2800000
498,11,1,"p15.4",2800000,11700000
499,11,1,"p15.3",11700000,13800000
500,11,1,"p15.2",13800000,16900000
501,11,1,"p15.1",16900000,22000000
502,11,1,"p14.3",22000000,26200000
503,11,1,"p14.2",26200000,27200000
504,11,1,"p14.1",27200000,31000000
505,11,1,"p13",31000000,36400000
506,11,1,"p12",36400000,43400000
507,11,1,"p11.2",43400000,48800000
508,11,1,"p11.12",48800000,51000000
509,11,1,"p11.11",51000000,53400000
510,11,2,"q11",53400000,55800000
511,11,2,"q12.1",55800000,60100000
512,11,2,"q12.2",60100000,61900000
513,11,2,"q12.3",61900000,63600000
514,11,2,"q13.1",63600000,66100000
515,11,2,"q13.2",66100000,68700000
516,11,2,"q13.3",68700000,70500000
517,11,2,"q13.4",70500000,75500000
518,11,2,"q13.5",75500000,77400000
519,11,2,"q14.1",77400000,85900000
520,11,2,"q14.2",85900000,88600000
521,11,2,"q14.3",88600000,93000000
522,11,2,"q21",93000000,97400000
523,11,2,"q22.1",97400000,102300000
524,11,2,"q22.2",102300000,103000000
525,11,2,"q22.3",103000000,110600000
526,11,2,"q23.1",110600000,112700000
527,11,2,"q23.2",112700000,114600000
528,11,2,"q23.3",114600000,121300000
529,11,2,"q24.1",121300000,124000000
530,11,2,"q24.2",124000000,127900000
531,11,2,"q24.3",127900000,130900000
532,11,2,"q25",130900000,135086622
533,12,1,"p13.33",0,3200000
534,12,1,"p13.32",3200000,5300000
535,12,1,"p13.31",5300000,10000000
536,12,1,"p13.2",10000000,12600000
537,12,1,"p13.1",12600000,14600000
538,12,1,"p12.3",14600000,19800000
539,12,1,"p12.2",19800000,21100000
540,12,1,"p12.1",21100000,26300000
541,12,1,"p11.23",26300000,27600000
542,12,1,"p11.22",27600000,30500000
543,12,1,"p11.21",30500000,33200000
544,12,1,"p11.1",33200000,35500000
545,12,2,"q11",35500000,37800000
546,12,2,"q12",37800000,46000000
547,12,2,"q13.11",46000000,48700000
548,12,2,"q13.12",48700000,51100000
549,12,2,"q13.13",51100000,54500000
550,12,2,"q13.2",54500000,56200000
551,12,2,"q13.3",56200000,57700000
552,12,2,"q14.1",57700000,62700000
553,12,2,"q14.2",62700000,64700000
554,12,2,"q14.3",64700000,67300000
555,12,2,"q15",67300000,71100000
556,12,2,"q21.1",71100000,75300000
557,12,2,"q21.2",75300000,79900000
558,12,2,"q21.31",79900000,86300000
559,12,2,"q21.32",86300000,88600000
560,12,2,"q21.33",88600000,92200000
561,12,2,"q22",92200000,95800000
562,12,2,"q23.1",95800000,101200000
563,12,2,"q23.2",101200000,103500000
564,12,2,"q23.3",103500000,108600000
565,12,2,"q24.11",108600000,111300000
566,12,2,"q24.12",111300000,111900000
567,12,2,"q24.13",111900000,113900000
568,12,2,"q24.21",113900000,116400000
569,12,2,"q24.22",116400000,117700000
570,12,2,"q24.23",117700000,120300000
571,12,2,"q24.31",120300000,125400000
572,12,2,"q24.32",125400000,128700000
573,12,2,"q24.33",128700000,133275309
574,13,1,"p13",0,4600000
575,13,1,"p12",4600000,10100000
576,13,1,"p11.2",10100000,16500000
577,13,1,"p11.1",16500000,17700000
578,13,2,"q11",17700000,18900000
579,13,2,"q12.11",18900000,22600000
580,13,2,"q12.12",22600000,24900000
581,13,2,"q12.13",24900000,27200000
582,13,2,"q12.2",27200000,28300000
583,13,2,"q12.3",28300000,31600000
584,13,2,"q13.1",31600000,33400000
585,13,2,"q13.2",33400000,34900000
586,13,2,"q13.3",34900000,39500000
587,13,2,"q14.11",39500000,44600000
588,13,2,"q14.12",44600000,45200000
589,13,2,"q14.13",45200000,46700000
590,13,2,"q14.2",46700000,50300000
591,13,2,"q14.3",50300000,54700000
592,13,2,"q21.1",54700000,59000000
593,13,2,"q21.2",59000000,61800000
594,13,2,"q21.31",61800000,65200000
595,13,2,"q21.32",65200000,68100000
596,13,2,"q21.33",68100000,72800000
597,13,2,"q22.1",72800000,74900000
598,13,2,"q22.2",74900000,76700000
599,13,2,"q22.3",76700000,78500000
600,13,2,"q31.1",78500000,87100000
601,13,2,"q31.2",87100000,89400000
602,13,2,"q31.3",89400000,94400000
603,13,2,"q32.1",94400000,97500000
604,13,2,"q32.2",97500000,98700000
605,13,2,"q32.3",98700000,101100000
606,13,2,"q33.1",101100000,104200000
607,13,2,"q33.2",104200000,106400000
608,13,2,"q33.3",106400000,109600000
609,13,2,"q34",109600000,114364328
610,14,1,"p13",0,3600000
611,14,1,"p12",3600000,8000000
612,14,1,"p11.2",8000000,16100000
613,14,1,"p11.1",16100000,17200000
614,14,2,"q11.1",17200000,18200000
615,14,2,"q11.2",18200000,24100000
616,14,2,"q12",24100000,32900000
617,14,2,"q13.1",32900000,34800000
618,14,2,"q13.2",34800000,36100000
619,14,2,"q13.3",36100000,37400000
620,14,2,"q21.1",37400000,43000000
621,14,2,"q21.2",43000000,46700000
622,14,2,"q21.3",46700000,50400000
623,14,2,"q22.1",50400000,53600000
624,14,2,"q22.2",53600000,55000000
625,14,2,"q22.3",55000000,57600000
626,14,2,"q23.1",57600000,61600000
627,14,2,"q23.2",61600000,64300000
628,14,2,"q23.3",64300000,67400000
629,14,2,"q24.1",67400000,69800000
630,14,2,"q24.2",69800000,73300000
631,14,2,"q24.3",73300000,78800000
632,14,2,"q31.1",78800000,83100000
633,14,2,"q31.2",83100000,84400000
634,14,2,"q31.3",84400000,89300000
635,14,2,"q32.11",89300000,91400000
636,14,2,"q32.12",91400000,94200000
637,14,2,"q32.13",94200000,95800000
638,14,2,"q32.2",95800000,100900000
639,14,2,"q32.31",100900000,102700000
640,14,2,"q32.32",102700000,103500000
641,14,2,"q32.33",103500000,107043718
642,15,1,"p13",0,4200000
643,15,1,"p12",4200000,9700000
644,15,1,"p11.2",9700000,17500000
645,15,1,"p11.1",17500000,19000000
646,15,2,"q11.1",19000000,20500000
647,15,2,"q11.2",20500000,25500000
648,15,2,"q12",25500000,27800000
649,15,2,"q13.1",27800000,30000000
650,15,2,"q13.2",30000000,30900000
651,15,2,"q13.3",30900000,33400000
652,15,2,"q14",33400000,39800000
653,15,2,"q15.1",39800000,42500000
654,15,2,"q15.2",42500000,43300000
655,15,2,"q15.3",43300000,44500000
656,15,2,"q21.1",44500000,49200000
657,15,2,"q21.2",49200000,52600000
658,15,2,"q21.3",52600000,58800000
659,15,2,"q22.1",58800000,59000000
660,15,2,"q22.2",59000000,63400000
661,15,2,"q22.31",63400000,66900000
662,15,2,"q22.32",66900000,67000000
663,15,2,"q22.33",67000000,67200000
664,15,2,"q23",67200000,72400000
665,15,2,"q24.1",72400000,74900000
666,15,2,"q24.2",74900000,76300000
667,15,2,"q24.3",76300000,78000000
668,15,2,"q25.1",78000000,81400000
669,15,2,"q25.2",81400000,84700000
670,15,2,"q25.3",84700000,88500000
671,15,2,"q26.1",88500000,93800000
672,15,2,"q26.2",93800000,98000000
673,15,2,"q26.3",98000000,101991189
674,16,1,"p13.3",0,7800000
675,16,1,"p13.2",7800000,10400000
676,16,1,"p13.13",10400000,12500000
677,16,1,"p13.12",12500000,14700000
678,16,1,"p13.11",14700000,16700000
679,16,1,"p12.3",16700000,21200000
680,16,1,"p12.2",21200000,24200000
681,16,1,"p12.1",24200000,28500000
682,16,1,"p11.2",28500000,35300000
683,16,1,"p11.1",35300000,36800000
684,16,2,"q11.1",36800000,38400000
685,16,2,"q11.2",38400000,47000000
686,16,2,"q12.1",47000000,52600000
687,16,2,"q12.2",52600000,56000000
688,16,2,"q13",56000000,57300000
689,16,2,"q21",57300000,66600000
690,16,2,"q22.1",66600000,70800000
691,16,2,"q22.2",70800000,72800000
692,16,2,"q22.3",72800000,74100000
693,16,2,"q23.1",74100000,79200000
694,16,2,"q23.2",79200000,81600000
695,16,2,"q23.3",81600000,84100000
696,16,2,"q24.1",84100000,87000000
697,16,2,"q24.2",87000000,88700000
698,16,2,"q24.3",88700000,90338345
699,17,1,"p13.3",0,3400000
700,17,1,"p13.2",3400000,6500000
701,17,1,"p13.1",6500000,10800000
702,17,1,"p12",10800000,16100000
703,17,1,"p11.2",16100000,22700000
704,17,1,"p11.1",22700000,25100000
705,17,2,"q11.1",25100000,27400000
706,17,2,"q11.2",27400000,33500000
707,17,2,"q12",33500000,39800000
